Time Node entropy gini t05 enrate ginirate t05rate apa cusum
3 good-leaf-14 2.92193 0.86 3.58359 0.120412 0.0444444 0.17134 1 0
3 evil-leaf-15 3.12193 0.88 3.95407 0.068448 0.0232558 0.103384 1 0
3 evil-leaf-16 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
3 gw-1 3.98418 0.93 6.11526 0.0131811 0.00671598 0.0105153 1 0
3 gw-2 3.98418 0.93 6.11526 0.0334175 0.0106383 0.0475166 1 0
3 gw-3 3.72193 0.91 5.5259 0.0745911 0.026738 0.102699 1 0
3 gw-4 4.12193 0.94 6.42033 0.106415 0.0359184 0.158387 1 0
3 gw-5 4.02193 0.935 6.15836 0.0532023 0.0130556 0.0832774 1 0
3 gw-6 4.02193 0.935 6.15836 0.0354629 0.0108108 0.0521199 1 0
3 gw-7 4.12193 0.94 6.42033 0.020936 0.0039645 0.0388472 1 0
3 gw-8 4.14266 0.941828 6.44902 0.0397774 0.0127186 0.054579 1 0
3 gw-9 4.939 0.96384 9.30265 0.0504603 0.00853939 0.0933561 1 0
3 gw-10 4.65306 0.955 8.319 0.0540225 0.00954924 0.0928826 1 0
3 gw-11 4.70306 0.95625 8.50424 0.0105549 0.00106027 0.0217145 1 0
3 gw-12 4.78515 0.959895 8.73985 0.00228482 0.00150874 0.00116594 1 0
3 gw-13 5.30459 0.968442 11.2434 0.0272502 0.00600415 0.0330297 1 0
3 gw-14 5.38061 0.970222 11.4925 0.00105581 0.00106952 4.07741e-05 1 0
3 gw-15 5.86529 0.978009 14.0956 0.0117331 0.000134419 0.0329012 1 0
3 gw-16 5.93278 0.980741 14.2499 0.0211916 0.00228689 0.0415877 1 0
3 prod-bb-1 5.93278 0.980741 14.2499 0.0211916 0.00228689 0.0415877 1 0
4 good-leaf-1 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
4 evil-leaf-2 2.64644 0.82 3.15215 0.152306 0.0681818 0.202809 1 0
4 evil-leaf-3 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
4 good-leaf-4 3.12193 0.88 3.95407 0 0 2.24624e-16 1 0
4 evil-leaf-5 2.84644 0.84 3.52263 1.56016e-16 0 0 1 0
4 good-leaf-6 3.32193 0.9 4.32456 0.136896 0.0465116 0.206767 1 0
4 good-leaf-7 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
4 good-leaf-8 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
4 evil-leaf-9 3.12193 0.88 3.95407 0 0 0 1 0
4 evil-leaf-10 3.12193 0.88 3.95407 0 0 2.24624e-16 1 0
4 good-leaf-11 2.84644 0.84 3.52263 0.0882431 0.0454545 0.109112 1 0
4 good-leaf-12 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
4 good-leaf-13 2.92193 0.86 3.58359 0.120412 0.0444444 0.17134 1 0
4 good-leaf-14 3.12193 0.88 3.95407 0.068448 0.0232558 0.103384 1 0
4 evil-leaf-15 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
4 evil-leaf-16 2.84644 0.84 3.52263 0.0882431 0.0454545 0.109112 1 0
4 gw-1 4.0374 0.936288 6.18024 0.0133572 0.00676139 0.0106271 1 0
4 gw-2 4.02193 0.935 6.15836 0.00947355 0.00537634 0.00704808 1 0
4 gw-3 4.14266 0.941828 6.44902 0.113043 0.0349761 0.167053 1 0
4 gw-4 4.12193 0.94 6.42033 0 0 0 1 0
4 gw-5 3.72161 0.919668 5.37391 0.0746698 0.0163983 0.127379 1 0
4 gw-6 3.89241 0.925208 5.86725 0.0322037 0.010473 0.0472709 1 0
4 gw-7 3.74644 0.915 5.54821 0.0910954 0.0265957 0.135837 1 0
4 gw-8 3.78714 0.919668 5.59847 0.0858193 0.0235294 0.131889 1 0
4 gw-9 4.7213 0.957265 8.53627 0.0440774 0.00682128 0.0823834 1 0
4 gw-10 4.73387 0.95858 8.55225 0.0173679 0.00374857 0.0280379 1 0
4 gw-11 4.29359 0.943213 7.11543 0.0870629 0.0136332 0.163308 1 0
4 gw-12 4.47135 0.943213 7.84651 0.0655773 0.0173785 0.102214 1 0
4 gw-13 5.29915 0.970163 11.0683 0.00102598 0.00177754 0.0155778 1 0
4 gw-14 5.08958 0.963243 10.2672 0.0540881 0.0071923 0.106622 1 0
4 gw-15 5.59208 0.974048 12.7996 0.0465803 0.00404988 0.0919417 1 0
4 gw-16 5.64713 0.976006 12.9327 0.0481474 0.00482777 0.0924338 1 0
4 prod-bb-1 5.64713 0.976006 12.9327 0.0481474 0.00482777 0.0924338 1 0
5 good-leaf-1 3.32193 0.9 4.32456 0 0 0 1 0
5 evil-leaf-2 3.12193 0.88 3.95407 0.179671 0.0731707 0.254405 1 0
5 evil-leaf-3 3.12193 0.88 3.95407 0 0 0 1 0
5 good-leaf-4 3.12193 0.88 3.95407 0 0 2.24624e-16 1 0
5 evil-leaf-5 3.12193 0.88 3.95407 0.0967836 0.047619 0.122476 1 0
5 good-leaf-6 3.32193 0.9 4.32456 0 0 0 1 0
5 good-leaf-7 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
5 good-leaf-8 3.12193 0.88 3.95407 1.42248e-16 0 0 1 0
5 evil-leaf-9 3.12193 0.88 3.95407 1.42248e-16 0 2.24624e-16 1 0
5 evil-leaf-10 3.12193 0.88 3.95407 1.42248e-16 0 0 1 0
5 good-leaf-11 3.32193 0.9 4.32456 0.167047 0.0714286 0.227648 1 0
5 good-leaf-12 3.32193 0.9 4.32456 0 0 0 1 0
5 good-leaf-13 2.92193 0.86 3.58359 0 0 0 1 0
5 good-leaf-14 2.92193 0.86 3.58359 0.064063 0.0227273 0.0936968 1 0
5 evil-leaf-15 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
5 evil-leaf-16 3.12193 0.88 3.95407 0.0967836 0.047619 0.122476 1 0
5 gw-1 3.98418 0.93 6.11526 0.0131811 0.00671598 0.0105153 1 0
5 gw-2 4.0374 0.936288 6.18024 0.00384719 0.00137763 0.00355394 1 0
5 gw-3 4.12193 0.94 6.42033 0.00500554 0.00194118 0.00444905 1 0
5 gw-4 4.12193 0.94 6.42033 0 0 0 1 0
5 gw-5 3.9477 0.932099 5.933 0.0607508 0.013517 0.104037 1 0
5 gw-6 4.22193 0.945 6.6823 0.0846574 0.0213922 0.138916 1 0
5 gw-7 3.9477 0.932099 5.933 0.0537213 0.0186872 0.0693529 1 0
5 gw-8 3.98418 0.93 6.11526 0.0520286 0.0112349 0.0923088 1 0
5 gw-9 4.68188 0.957064 8.36575 0.00834915 0.00021023 0.0199762 1 0
5 gw-10 4.85306 0.9625 8.95146 0.0251774 0.00408951 0.0466788 1 0
5 gw-11 4.98477 0.966759 9.37856 0.160978 0.0249633 0.318059 1 0
5 gw-12 4.70256 0.955442 8.51321 0.0517092 0.0129649 0.0849681 1 0
5 gw-13 5.57017 0.976801 12.1104 0.0511444 0.00684142 0.0941526 1 0
5 gw-14 5.52055 0.975309 11.934 0.0846766 0.0125256 0.162344 1 0
5 gw-15 5.91441 0.980425 14.1895 0.0576404 0.00654627 0.108583 1 0
5 gw-16 5.94827 0.981399 14.281 0.0533268 0.0055256 0.104254 1 0
5 prod-bb-1 5.94827 0.981399 14.281 0.0533268 0.0055256 0.104254 1 0
6 good-leaf-1 3.32193 0.9 4.32456 0 0 0 1 0
6 evil-leaf-2 3.12193 0.88 3.95407 1.42248e-16 0 0 1 0
6 evil-leaf-3 3.12193 0.88 3.95407 1.42248e-16 0 0 1 0
6 good-leaf-4 2.92193 0.86 3.58359 0.064063 0.0227273 0.0936968 1 0
6 evil-leaf-5 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
6 good-leaf-6 3.32193 0.9 4.32456 0 0 0 1 0
6 good-leaf-7 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
6 good-leaf-8 3.12193 0.88 3.95407 1.42248e-16 0 0 1 0
6 evil-leaf-9 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
6 evil-leaf-10 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
6 good-leaf-11 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
6 good-leaf-12 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
6 good-leaf-13 3.12193 0.88 3.95407 0.068448 0.0232558 0.103384 1 0
6 good-leaf-14 2.72193 0.84 3.2131 0.068448 0.0232558 0.103384 1 0
6 evil-leaf-15 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
6 evil-leaf-16 3.12193 0.88 3.95407 0 0 0 1 0
6 gw-1 4.02193 0.935 6.15836 0.00947355 0.00537634 0.00704808 1 0
6 gw-2 3.88418 0.925 5.85328 0.0379495 0.0120562 0.0529039 1 0
6 gw-3 4.22193 0.945 6.6823 0.0242605 0.00531915 0.0408035 1 0
6 gw-4 3.98418 0.93 6.11526 0.0334175 0.0106383 0.0475166 1 0
6 gw-5 4.12193 0.94 6.42033 0.0441333 0.00847682 0.0821393 1 0
6 gw-6 4.02193 0.935 6.15836 0.0473717 0.010582 0.0784076 1 0
6 gw-7 3.57662 0.908587 5.06091 0.0940003 0.0252243 0.146989 1 0
6 gw-8 3.98418 0.93 6.11526 1.11463e-16 0 0 1 0
6 gw-9 4.58002 0.952005 8.09934 0.0217557 0.00528539 0.0318455 1 0
6 gw-10 4.92643 0.962525 9.28668 0.0151187 2.56154e-05 0.0374488 1 0
6 gw-11 4.73387 0.95595 8.66214 0.0503333 0.0111806 0.0763886 1 0
6 gw-12 4.45149 0.947368 7.68559 0.0533912 0.00845002 0.0972159 1 0
6 gw-13 5.366 0.97204 11.289 0.0366532 0.00487384 0.0678271 1 0
6 gw-14 5.17195 0.964681 10.6676 0.0631465 0.0108962 0.106118 1 0
6 gw-15 5.75447 0.975714 13.6735 0.0270426 0.00480459 0.0363628 1 0
6 gw-16 5.83233 0.978547 13.8627 0.0194921 0.00290607 0.0292893 1 0
6 prod-bb-1 5.83233 0.978547 13.8627 0.0194921 0.00290607 0.0292893 1 0
7 good-leaf-1 3.32193 0.9 4.32456 0 0 0 1 0
7 evil-leaf-2 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
7 evil-leaf-3 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
7 good-leaf-4 3.32193 0.9 4.32456 0.136896 0.0465116 0.206767 1 0
7 evil-leaf-5 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
7 good-leaf-6 3.32193 0.9 4.32456 0 0 0 1 0
7 good-leaf-7 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
7 good-leaf-8 2.84644 0.84 3.52263 0.0882431 0.0454545 0.109112 1 0
7 evil-leaf-9 3.32193 0.9 4.32456 0 0 0 1 0
7 evil-leaf-10 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
7 good-leaf-11 3.12193 0.88 3.95407 0 0 0 1 0
7 good-leaf-12 2.92193 0.86 3.58359 0.064063 0.0227273 0.0936968 1 0
7 good-leaf-13 3.12193 0.88 3.95407 0 0 0 1 0
7 good-leaf-14 3.12193 0.88 3.95407 0.146955 0.047619 0.230608 1 0
7 evil-leaf-15 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
7 evil-leaf-16 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
7 gw-1 4.22193 0.945 6.6823 0.0497274 0.0106952 0.0850784 1 0
7 gw-2 4.0374 0.936288 6.18024 0.0394465 0.0122033 0.0558591 1 0
7 gw-3 4.22193 0.945 6.6823 0 0 0 1 0
7 gw-4 3.99767 0.930748 6.13602 0.00338502 0.000804218 0.00339589 1 0
7 gw-5 4.0374 0.936288 6.18024 0.0205066 0.00394884 0.0373945 1 0
7 gw-6 3.68354 0.91358 5.33528 0.0841352 0.0229088 0.133652 1 0
7 gw-7 3.92193 0.93 5.89639 0.0965466 0.0235671 0.165083 1 0
7 gw-8 4.22193 0.945 6.6823 0.059672 0.016129 0.0927261 1 0
7 gw-9 4.78515 0.959895 8.73985 0.0447876 0.00828729 0.0790821 1 0
7 gw-10 4.90707 0.96384 9.14592 0.00392903 0.00136612 0.0151572 1 0
7 gw-11 4.70451 0.955247 8.52016 0.00620171 0.000735519 0.0163912 1 0
7 gw-12 4.75323 0.959895 8.58311 0.0677833 0.0132223 0.116779 1 0
7 gw-13 5.41601 0.972845 11.5464 0.00931925 0.000828726 0.0228051 1 0
7 gw-14 5.31568 0.969321 11.1955 0.0277914 0.00480908 0.0494884 1 0
7 gw-15 5.80344 0.977408 13.8446 0.00850941 0.00173572 0.012518 1 0
7 gw-16 5.85983 0.979416 13.9806 0.00471578 0.000888181 0.00850587 1 0
7 prod-bb-1 5.85983 0.979416 13.9806 0.00471578 0.000888181 0.00850587 1 0
8 good-leaf-1 2.84644 0.84 3.52263 0.143136 0.0666667 0.185434 1 0
8 evil-leaf-2 3.32193 0.9 4.32456 0 0 0 1 0
8 evil-leaf-3 2.92193 0.86 3.58359 0.120412 0.0444444 0.17134 1 0
8 good-leaf-4 2.92193 0.86 3.58359 0.120412 0.0444444 0.17134 1 0
8 evil-leaf-5 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
8 good-leaf-6 3.32193 0.9 4.32456 0 0 0 1 0
8 good-leaf-7 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
8 good-leaf-8 3.12193 0.88 3.95407 0.0967836 0.047619 0.122476 1 0
8 evil-leaf-9 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
8 evil-leaf-10 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
8 good-leaf-11 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
8 good-leaf-12 3.12193 0.88 3.95407 0.068448 0.0232558 0.103384 1 0
8 good-leaf-13 3.12193 0.88 3.95407 0 0 2.24624e-16 1 0
8 good-leaf-14 3.12193 0.88 3.95407 1.42248e-16 0 0 1 0
8 evil-leaf-15 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
8 evil-leaf-16 2.84644 0.84 3.52263 0.143136 0.0666667 0.185434 1 0
8 gw-1 3.93214 0.930748 5.91147 0.0686393 0.0150816 0.115355 1 0
8 gw-2 3.92193 0.93 5.89639 0.0286008 0.00671598 0.0459299 1 0
8 gw-3 4.02193 0.935 6.15836 0.0473717 0.010582 0.0784076 1 0
8 gw-4 3.92193 0.93 5.89639 0.0189466 0.000803571 0.0390542 1 0
8 gw-5 3.98418 0.93 6.11526 0.0131811 0.00671598 0.0105153 1 0
8 gw-6 4.12193 0.94 6.42033 0.119012 0.0289189 0.203372 1 0
8 gw-7 4.12193 0.94 6.42033 0.0509953 0.0107527 0.0888584 1 0
8 gw-8 4.0374 0.936288 6.18024 0.0437068 0.00921895 0.0751323 1 0
8 gw-9 4.7213 0.954635 8.64617 0.0133438 0.00547945 0.0107192 1 0
8 gw-10 4.52874 0.94806 8.02163 0.077099 0.0163711 0.122928 1 0
8 gw-11 4.71531 0.9575 8.52002 0.00229568 0.00235864 1.6499e-05 1 0
8 gw-12 4.82687 0.959834 8.91973 0.0154946 6.35601e-05 0.039218 1 0
8 gw-13 5.18854 0.96641 10.6915 0.0419991 0.00661475 0.0740427 1 0
8 gw-14 5.37331 0.970782 11.3989 0.0108416 0.00150716 0.0181693 1 0
8 gw-15 5.69242 0.974905 13.3317 0.0191295 0.00256026 0.0370504 1 0
8 gw-16 5.78578 0.978518 13.5471 0.0126364 0.000916884 0.031012 1 0
8 prod-bb-1 5.78578 0.978518 13.5471 0.0126364 0.000916884 0.031012 1 0
9 good-leaf-1 3.32193 0.9 4.32456 0.167047 0.0714286 0.227648 1 0
9 evil-leaf-2 2.92193 0.86 3.58359 0.120412 0.0444444 0.17134 1 0
9 evil-leaf-3 3.32193 0.9 4.32456 0.136896 0.0465116 0.206767 1 0
9 good-leaf-4 2.64644 0.82 3.15215 0.0942832 0.0465116 0.120393 1 0
9 evil-leaf-5 3.32193 0.9 4.32456 0 0 0 1 0
9 good-leaf-6 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
9 good-leaf-7 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
9 good-leaf-8 3.12193 0.88 3.95407 1.42248e-16 0 0 1 0
9 evil-leaf-9 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
9 evil-leaf-10 3.32193 0.9 4.32456 0 0 0 1 0
9 good-leaf-11 3.32193 0.9 4.32456 0 0 0 1 0
9 good-leaf-12 3.12193 0.88 3.95407 0 0 2.24624e-16 1 0
9 good-leaf-13 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
9 good-leaf-14 3.32193 0.9 4.32456 0.064063 0.0227273 0.0936968 1 0
9 evil-leaf-15 2.92193 0.86 3.58359 0.120412 0.0444444 0.17134 1 0
9 evil-leaf-16 2.84644 0.84 3.52263 1.56016e-16 0 0 1 0
9 gw-1 3.88418 0.925 5.85328 0.0121955 0.0061756 0.00984217 1 0
9 gw-2 3.84644 0.92 5.81018 0.0192479 0.0107527 0.0146194 1 0
9 gw-3 4.08418 0.935 6.37723 0.015479 2.37481e-16 0.0355405 1 0
9 gw-4 4.14266 0.941828 6.44902 0.0562826 0.0127186 0.0937244 1 0
9 gw-5 4.12193 0.94 6.42033 0.0345728 0.0107527 0.0498871 1 0
