Time	normal	yingdui200	yingdui50	lianggeqianzhui	5ge	3ge	1ge	9ge
228	0.444444444	1	1	0.943209877	0.990909091	0.968376068	0.986666667	0.985714286
229	0.155555556	1.001234568	1	0.922222222	0.980808081	0.983760684	1.006666667	1
230	0.211111111	0.97654321	0.966666667	0.966666667	1	0.992307692	0.985925926	0.985714286
231	0.256790123	0.966666667	0.977777778	0.933333333	0.972727273	0.976923077	0.986666667	1
232	0.222222222	0.966666667	0.977777778	0.944444444	1.011111111	0.976923077	0.986666667	0.941269841
233	0.733333333	1	1	0.955555556	0.963636364	0.983760684	0.992592593	1
234	0.677777778	0.97654321	0.966666667	0.888888889	0.981818182	0.967307692	0.972592593	1.014285714
235	0.677777778	0.977777778	0.988888889	0.940740741	0.971717172	1.017307692	1.021666667	0.985714286
236	0.488888889	1	0.988888889	1.012345679	0.977922078	0.967857143	0.956402116	0.971428571
237	0.071604938	1.011111111	0.987654321	0.980555556	0.98989899	1	0.985925926	1
238	0.011111111	0.977777778	0.988888889	0.888888889	0.990909091	0.983760684	0.972592593	0.985714286
239	0	1	0.988888889	0.977777778	0.953535354	0.968376068	0.986666667	1.014285714
240	0.112345679	0.988888889	0.987654321	0.9	1.001010101	0.984615385	1.02	0.985714286
241	0.820987654	0.991666667	0.988888889	1.011111111	0.973737374	0.994749695	0.957777778	0.952380952
242	1	0.988888889	0.988888889	0.958888889	0.998989899	0.993162393	0.973333333	0.985714286
243	1.011111111	0.987654321	1	0.97	0.952272727	0.953846154	0.98	1.017857143
244	0.977777778	0.988888889	1.002777778	0.972777778	0.978535354	0.976923077	0.993333333	0.985714286
245	1	0.977777778	0.97654321	0.94654321	0.97979798	0.983760684	0.98	0.973412698
246	0.97654321	0.988888889	1.011111111	0.981111111	0.981818182	0.984615385	0.987407407	0.942857143
247	1.012345679	0.988888889	0.955555556	0.925555556	1.002272727	1	0.987407407	0.942857143
248	0.977777778	0.987654321	1.011111111	0.981111111	0.963636364	0.992307692	0.980740741	0.985714286
249	1.011111111	0.990123457	0.97654321	0.94654321	0.971717172	0.960683761	0.971851852	0.971428571
250	1	0.954320988	0.966666667	0.936666667	1.017171717	1	0.98	1.015873016
251	0.955555556	1.002777778	0.97654321	0.94654321	0.918181818	0.952136752	0.973333333	0.928571429
252	0.954320988	0.97654321	1	0.97	0.972727273	0.976923077	0.988333333	0.985714286
253	1	0.966666667	0.965432099	0.935432099	1.01010101	1.009615385	1.006666667	0.96984127
254	1	0.977777778	0.966666667	0.936666667	0.970707071	0.969230769	0.972592593	0.971428571
255	0.977777778	1.001234568	0.988888889	0.958888889	0.980808081	0.951282051	0.973333333	0.955555556
256	0.988888889	0.95308642	0.977777778	0.947777778	1.01010101	0.984615385	0.993333333	0.985714286
257	0.979012346	0.988888889	0.988888889	0.958888889	0.951515152	0.944444444	0.972592593	0.971428571
258	0.979012346	0.977777778	1.009876543	0.979876543	0.962626263	0.975	0.98	1
259	0.933333333	0.988888889	0.979320988	0.949320988	0.981818182	0.984615385	0.986666667	0.971428571
260	0.97654321	0.964197531	0.97654321	0.94654321	0.98989899	0.991452991	1.000740741	1
261	0.988888889	0.966666667	0.977777778	0.947777778	0.981818182	0.983760684	0.985925926	0.985714286
262	0.975308642	0.988888889	0.966666667	0.936666667	0.990909091	0.976068376	0.993333333	0.957142857
263	0.966666667	0.977777778	0.977777778	0.947777778	0.998989899	1.000854701	0.986666667	0.971428571
264	1.036111111	1	0.988888889	0.958888889	0.981818182	1	0.966666667	0.987301587
265	0.955555556	0.987654321	1	0.97	0.990909091	0.977777778	0.986666667	0.985714286
266	1.011111111	1.011111111	1.001234568	0.971234568	0.990909091	1	1	0.971428571
267	0.977777778	0.988888889	0.966666667	0.936666667	0.981818182	0.968376068	0.973333333	1.017857143
268	0.967901235	1.02345679	1.011111111	0.981111111	0.962626263	0.992307692	0.98	0.953968254
269	0.988888889	0.943209877	0.980555556	0.950555556	0.972727273	0.97008547	0.994074074	0.998015873
270	1.012345679	0.97654321	0.943209877	0.913209877	0.98989899	0.984615385	0.999259259	0.985714286
271	0.977777778	0.990123457	1.012345679	0.982345679	1.01010101	1	0.979259259	1.017857143
272	0.987654321	0.977777778	0.977777778	0.947777778	0.972727273	0.984615385	0.979259259	0.985714286
273	0.988888889	1.011111111	0.998765432	0.968765432	0.972727273	0.992307692	0.972592593	0.985714286
274	0.97654321	0.988888889	1	0.97	1.009090909	0.976923077	1.006666667	1.015873016
275	1.011111111	1	0.990123457	0.960123457	0.962626263	0.984615385	0.973333333	0.982142857
276	0.955555556	0.988888889	0.988888889	0.958888889	0.972727273	0.95982906	0.973518519	1.001587302
277	1	0.954320988	0.947222222	0.917222222	0.963636364	0.984615385	0.993333333	0.941269841
278	0.988888889	0.998765432	0.988888889	0.958888889	0.981818182	0.984615385	0.980740741	1.001587302
279	1.011111111	1.001234568	1	0.97	1	0.983760684	0.965	0.971428571
280	1.013888889	0.97654321	0.977777778	0.947777778	0.971717172	0.993162393	1.008888889	1
281	0.987654321	0.955555556	0.966666667	0.936666667	0.954545455	0.952136752	0.945185185	0.971428571
282	0.977777778	0.988888889	0.977777778	0.947777778	0.980808081	1	0.993333333	1
283	0.988888889	0.988888889	1	0.97	0.981818182	0.984615385	0.98	0.955555556
284	0.998765432	0.988888889	1.011111111	0.981111111	1	0.961538462	0.992592593	1.015873016
285	0.966666667	0.977777778	0.955555556	0.925555556	0.945454545	0.967521368	0.973333333	0.957142857
286	0.988888889	0.988888889	0.977777778	0.947777778	1.001010101	0.992307692	0.971851852	0.971428571
287	0.987654321	0.988888889	1.011111111	0.981111111	0.990909091	0.984615385	1.006666667	1
288	0.988888889	0.965432099	0.977777778	0.947777778	1	0.992307692	0.96	0.971428571
289	1.013888889	1.012345679	0.998765432	0.968765432	0.980808081	0.967521368	0.973333333	1
290	0.954320988	0.966666667	0.988888889	0.958888889	0.997727273	0.982905983	0.985185185	1.014285714
291	1	0.988888889	0.977777778	0.947777778	0.944444444	0.984615385	0.986666667	0.928571429
292	1.026234568	0.988888889	1.02345679	0.99345679	0.990909091	0.992307692	0.985925926	0.982142857
293	0.95308642	0.97654321	0.954320988	0.924320988	0.972727273	0.984615385	0.987407407	0.957142857
