Time Node interest
0.520083 5 /p/good/good-leaf-4/%FEZ?ndn.Nonce=4223920607
0.520083 0 /p/good/good-leaf-5/%FE%02?ndn.Nonce=2562246910
0.530125 6 /p/good/good-leaf-4/%FEZ?ndn.Nonce=4223920607
0.540166 8 /p/good/good-leaf-4/%FEZ?ndn.Nonce=4223920607
0.550208 1 /p/good/good-leaf-4/%FEZ?ndn.Nonce=4223920607
0.6 10 /p/good/good-leaf-2/%FE4?ndn.Nonce=2325138250
0.6 12 /p/good/good-leaf-4/%FE%1C?ndn.Nonce=4229771315
0.6 13 /p/good/good-leaf-5/%FE%06?ndn.Nonce=3916416102
0.610042 2 /p/good/good-leaf-2/%FE4?ndn.Nonce=2325138250
0.610042 3 /p/good/good-leaf-4/%FE%1C?ndn.Nonce=4229771315
0.610042 7 /p/good/good-leaf-5/%FE%06?ndn.Nonce=3916416102
0.620083 4 /p/good/good-leaf-2/%FE4?ndn.Nonce=2325138250
0.620083 5 /p/good/good-leaf-4/%FE%1C?ndn.Nonce=4229771315
0.620083 0 /p/good/good-leaf-5/%FE%06?ndn.Nonce=3916416102
0.630125 6 /p/good/good-leaf-2/%FE4?ndn.Nonce=2325138250
0.630125 6 /p/good/good-leaf-4/%FE%1C?ndn.Nonce=4229771315
0.640166 8 /p/good/good-leaf-2/%FE4?ndn.Nonce=2325138250
0.640208 8 /p/good/good-leaf-4/%FE%1C?ndn.Nonce=4229771315
0.650208 1 /p/good/good-leaf-2/%FE4?ndn.Nonce=2325138250
0.65025 1 /p/good/good-leaf-4/%FE%1C?ndn.Nonce=4229771315
0.7 10 /p/good/good-leaf-2/%FE%0A?ndn.Nonce=3740802279
0.7 12 /p/good/good-leaf-4/%FEX?ndn.Nonce=1356947732
0.7 13 /p/good/good-leaf-5/%FE%04?ndn.Nonce=3548086148
0.710042 2 /p/good/good-leaf-2/%FE%0A?ndn.Nonce=3740802279
0.710042 3 /p/good/good-leaf-4/%FEX?ndn.Nonce=1356947732
0.710042 7 /p/good/good-leaf-5/%FE%04?ndn.Nonce=3548086148
0.720083 4 /p/good/good-leaf-2/%FE%0A?ndn.Nonce=3740802279
0.720083 5 /p/good/good-leaf-4/%FEX?ndn.Nonce=1356947732
0.720083 0 /p/good/good-leaf-5/%FE%04?ndn.Nonce=3548086148
0.730125 6 /p/good/good-leaf-2/%FE%0A?ndn.Nonce=3740802279
0.730125 6 /p/good/good-leaf-4/%FEX?ndn.Nonce=1356947732
0.740166 8 /p/good/good-leaf-2/%FE%0A?ndn.Nonce=3740802279
0.740208 8 /p/good/good-leaf-4/%FEX?ndn.Nonce=1356947732
0.750208 1 /p/good/good-leaf-2/%FE%0A?ndn.Nonce=3740802279
0.75025 1 /p/good/good-leaf-4/%FEX?ndn.Nonce=1356947732
0.8 10 /p/good/good-leaf-2/%FEF?ndn.Nonce=745982218
0.8 12 /p/good/good-leaf-4/%FE%5E?ndn.Nonce=2881431894
0.8 13 /p/good/good-leaf-5/%FE5?ndn.Nonce=374976513
0.810042 2 /p/good/good-leaf-2/%FEF?ndn.Nonce=745982218
0.810042 3 /p/good/good-leaf-4/%FE%5E?ndn.Nonce=2881431894
0.810042 7 /p/good/good-leaf-5/%FE5?ndn.Nonce=374976513
0.820083 4 /p/good/good-leaf-2/%FEF?ndn.Nonce=745982218
0.820083 5 /p/good/good-leaf-4/%FE%5E?ndn.Nonce=2881431894
0.820083 0 /p/good/good-leaf-5/%FE5?ndn.Nonce=374976513
0.830125 6 /p/good/good-leaf-2/%FEF?ndn.Nonce=745982218
0.830125 6 /p/good/good-leaf-4/%FE%5E?ndn.Nonce=2881431894
0.840166 8 /p/good/good-leaf-2/%FEF?ndn.Nonce=745982218
0.840208 8 /p/good/good-leaf-4/%FE%5E?ndn.Nonce=2881431894
0.850208 1 /p/good/good-leaf-2/%FEF?ndn.Nonce=745982218
0.85025 1 /p/good/good-leaf-4/%FE%5E?ndn.Nonce=2881431894
0.9 10 /p/good/good-leaf-2/%FE%02?ndn.Nonce=2174891134
0.9 12 /p/good/good-leaf-4/%FE%12?ndn.Nonce=53714730
0.9 13 /p/good/good-leaf-5/%FE%01?ndn.Nonce=3644827751
0.910042 2 /p/good/good-leaf-2/%FE%02?ndn.Nonce=2174891134
0.910042 3 /p/good/good-leaf-4/%FE%12?ndn.Nonce=53714730
0.910042 7 /p/good/good-leaf-5/%FE%01?ndn.Nonce=3644827751
0.920083 4 /p/good/good-leaf-2/%FE%02?ndn.Nonce=2174891134
0.920083 5 /p/good/good-leaf-4/%FE%12?ndn.Nonce=53714730
0.920083 0 /p/good/good-leaf-5/%FE%01?ndn.Nonce=3644827751
0.930125 6 /p/good/good-leaf-2/%FE%02?ndn.Nonce=2174891134
0.930125 6 /p/good/good-leaf-4/%FE%12?ndn.Nonce=53714730
0.940166 8 /p/good/good-leaf-2/%FE%02?ndn.Nonce=2174891134
0.940208 8 /p/good/good-leaf-4/%FE%12?ndn.Nonce=53714730
0.950208 1 /p/good/good-leaf-2/%FE%02?ndn.Nonce=2174891134
0.95025 1 /p/good/good-leaf-4/%FE%12?ndn.Nonce=53714730
1 10 /p/good/good-leaf-2/%FE%0E?ndn.Nonce=2474296388
1 12 /p/good/good-leaf-4/%FE%26?ndn.Nonce=2777266107
1 13 /p/good/good-leaf-5/%FE%13?ndn.Nonce=908054203
1.01004 2 /p/good/good-leaf-2/%FE%0E?ndn.Nonce=2474296388
1.01004 3 /p/good/good-leaf-4/%FE%26?ndn.Nonce=2777266107
1.01004 7 /p/good/good-leaf-5/%FE%13?ndn.Nonce=908054203
1.02008 4 /p/good/good-leaf-2/%FE%0E?ndn.Nonce=2474296388
1.02008 5 /p/good/good-leaf-4/%FE%26?ndn.Nonce=2777266107
1.02008 0 /p/good/good-leaf-5/%FE%13?ndn.Nonce=908054203
1.03012 6 /p/good/good-leaf-2/%FE%0E?ndn.Nonce=2474296388
1.03012 6 /p/good/good-leaf-4/%FE%26?ndn.Nonce=2777266107
1.04017 8 /p/good/good-leaf-2/%FE%0E?ndn.Nonce=2474296388
