Time Node gini
4 gw-303 0
4 gw-235 0
4 gw-247 0
4 gw-316 0
4 gw-317 0
4 gw-279 0
5 gw-123 0.381328
5 gw-125 0
5 gw-178 0
5 gw-195 0
5 gw-127 0
5 gw-150 0.723101
5 gw-152 0
5 gw-257 0
5 gw-282 0
5 gw-133 0
5 gw-134 0
5 gw-202 0
5 gw-262 0
5 gw-236 0.498615
5 gw-237 0
5 gw-203 0
5 gw-200 0
5 gw-201 0
5 gw-137 0.444444
5 gw-138 0
5 gw-140 0
5 gw-141 0
5 gw-228 0.444444
5 gw-170 0
5 gw-227 0
5 gw-147 0
5 gw-149 0.375
5 gw-158 0.612245
5 gw-156 0.765415
5 gw-159 0
5 gw-162 0.75
5 gw-244 0
5 gw-181 0
5 gw-275 0
5 gw-276 0
5 gw-166 0
5 gw-171 0
5 gw-173 0
5 gw-172 0
5 gw-174 0
5 gw-182 0
5 gw-239 0
5 gw-285 0
5 gw-242 0
5 gw-229 0.444444
5 gw-213 0
5 gw-187 0.5
5 gw-188 0
5 gw-218 0
5 gw-207 0
5 gw-217 0
5 gw-255 0
5 gw-214 0
5 gw-245 0
5 gw-222 0
5 gw-208 0
5 gw-295 0
5 gw-312 0.609418
5 gw-219 0
5 gw-304 0
5 gw-293 0
5 gw-234 0
5 gw-303 0
5 gw-235 0
5 gw-247 0
5 gw-316 0
5 gw-317 0
5 gw-279 0
6 gw-123 0.408163
6 gw-125 0
6 gw-178 0
6 gw-195 0
6 gw-127 0
6 gw-150 0.721471
6 gw-152 0
6 gw-257 0
6 gw-282 0
6 gw-133 0
6 gw-134 0
6 gw-202 0
6 gw-262 0
6 gw-236 0.5
6 gw-237 0
6 gw-203 0
6 gw-200 0
6 gw-201 0
6 gw-137 0.444444
6 gw-138 0
6 gw-140 0
6 gw-141 0
6 gw-228 0.444444
6 gw-170 0
6 gw-227 0
6 gw-147 0
6 gw-149 0.375
6 gw-158 0.614836
6 gw-156 0.763503
6 gw-159 0
6 gw-162 0.749507
6 gw-244 0
6 gw-181 0
6 gw-275 0
6 gw-276 0
6 gw-166 0
6 gw-171 0
6 gw-173 0
6 gw-172 0
6 gw-174 0
6 gw-182 0
6 gw-239 0
6 gw-285 0
6 gw-242 0
6 gw-229 0.444444
6 gw-213 0
6 gw-187 0.5
6 gw-188 0
6 gw-218 0
6 gw-207 0
6 gw-217 0
6 gw-255 0
6 gw-214 0
6 gw-245 0
6 gw-222 0
6 gw-208 0
6 gw-295 0
6 gw-312 0.625
6 gw-219 0
6 gw-304 0
6 gw-293 0
6 gw-234 0
6 gw-303 0
6 gw-235 0
6 gw-247 0
6 gw-316 0
6 gw-317 0
6 gw-279 0
7 gw-123 0.375
7 gw-125 0
7 gw-178 0
7 gw-195 0
7 gw-127 0
7 gw-150 0.720587
7 gw-152 0
7 gw-257 0
7 gw-282 0
7 gw-133 0
7 gw-134 0
7 gw-202 0
7 gw-262 0
7 gw-236 0.5
7 gw-237 0
7 gw-203 0
7 gw-200 0
7 gw-201 0
7 gw-137 0.444444
7 gw-138 0
7 gw-140 0
7 gw-141 0
7 gw-228 0.444444
7 gw-170 0
7 gw-227 0
7 gw-147 0
7 gw-149 0.375
7 gw-158 0.612245
7 gw-156 0.755917
7 gw-159 0
7 gw-162 0.747922
7 gw-244 0
7 gw-181 0
7 gw-275 0
7 gw-276 0
7 gw-166 0
7 gw-171 0
7 gw-173 0
7 gw-172 0
7 gw-174 0
7 gw-182 0
7 gw-239 0
7 gw-285 0
7 gw-242 0
7 gw-229 0.444444
7 gw-213 0
7 gw-187 0.5
7 gw-188 0
7 gw-218 0
7 gw-207 0
7 gw-217 0
7 gw-255 0
7 gw-214 0
7 gw-245 0
7 gw-222 0
7 gw-208 0
7 gw-295 0
7 gw-312 0.648148
7 gw-219 0
7 gw-304 0
7 gw-293 0
7 gw-234 0
7 gw-303 0
7 gw-235 0
7 gw-247 0
7 gw-316 0
7 gw-317 0
7 gw-279 0
8 gw-123 0.375
8 gw-125 0
8 gw-178 0
8 gw-195 0
8 gw-127 0
8 gw-150 0.72
8 gw-152 0
8 gw-257 0
8 gw-282 0
8 gw-133 0
8 gw-134 0
8 gw-202 0
8 gw-262 0
8 gw-236 0.5
8 gw-237 0
8 gw-203 0
8 gw-200 0
8 gw-201 0
8 gw-137 0.444444
8 gw-138 0
8 gw-140 0
8 gw-141 0
8 gw-228 0.444444
8 gw-170 0
8 gw-227 0
8 gw-147 0
8 gw-149 0.375
8 gw-158 0.612245
8 gw-156 0.760331
8 gw-159 0
8 gw-162 0.75
8 gw-244 0
8 gw-181 0
8 gw-275 0
8 gw-276 0
8 gw-166 0
8 gw-171 0
8 gw-173 0
8 gw-172 0
8 gw-174 0
8 gw-182 0
8 gw-239 0
8 gw-285 0
8 gw-242 0
8 gw-229 0.444444
8 gw-213 0
8 gw-187 0.498615
8 gw-188 0
8 gw-218 0
8 gw-207 0
8 gw-217 0
8 gw-255 0
8 gw-214 0
8 gw-245 0
8 gw-222 0
8 gw-208 0
8 gw-295 0
8 gw-312 0.618014
8 gw-219 0
8 gw-304 0
8 gw-293 0
8 gw-234 0
8 gw-303 0
8 gw-235 0
8 gw-247 0
8 gw-316 0
8 gw-317 0
8 gw-279 0
9 gw-123 0.394449
9 gw-125 0
9 gw-178 0
9 gw-195 0
9 gw-127 0
9 gw-150 0.720587
9 gw-152 0
9 gw-257 0
9 gw-282 0
9 gw-133 0
9 gw-134 0
9 gw-202 0
9 gw-262 0
9 gw-236 0.5
9 gw-237 0
9 gw-203 0
9 gw-200 0
9 gw-201 0
9 gw-137 0.444444
9 gw-138 0
9 gw-140 0
9 gw-141 0
9 gw-228 0.444444
9 gw-170 0
9 gw-227 0
9 gw-147 0
9 gw-149 0.375
9 gw-158 0.612245
9 gw-156 0.761639
9 gw-159 0
9 gw-162 0.75
9 gw-244 0
9 gw-181 0
9 gw-275 0
9 gw-276 0
9 gw-166 0
9 gw-171 0
9 gw-173 0
9 gw-172 0
9 gw-174 0
9 gw-182 0
9 gw-239 0
9 gw-285 0
9 gw-242 0
9 gw-229 0.444444
9 gw-213 0
9 gw-187 0.5
9 gw-188 0
9 gw-218 0
9 gw-207 0
9 gw-217 0
9 gw-255 0
9 gw-214 0
9 gw-245 0
9 gw-222 0
9 gw-208 0
9 gw-295 0
9 gw-312 0.618014
9 gw-219 0
9 gw-304 0
9 gw-293 0
9 gw-234 0
9 gw-303 0
9 gw-235 0
9 gw-247 0
9 gw-316 0
9 gw-317 0
9 gw-279 0
10 gw-123 0.736212
