Time Node t1 t2 gini
2 72 DetectionApp:GetPit(): [DEBUG] 0
2 73 DetectionApp:GetPit(): [DEBUG] 0
2 74 DetectionApp:GetPit(): [DEBUG] 0.5
2 75 DetectionApp:GetPit(): [DEBUG] 0
2 76 DetectionApp:GetPit(): [DEBUG] 0
2 77 DetectionApp:GetPit(): [DEBUG] 0
2 78 DetectionApp:GetPit(): [DEBUG] 0
2 79 DetectionApp:GetPit(): [DEBUG] 0
2 80 DetectionApp:GetPit(): [DEBUG] 0.64
2 81 DetectionApp:GetPit(): [DEBUG] 0
2 82 DetectionApp:GetPit(): [DEBUG] 0
2 83 DetectionApp:GetPit(): [DEBUG] 0
2 84 DetectionApp:GetPit(): [DEBUG] 0
2 85 DetectionApp:GetPit(): [DEBUG] 0
2 86 DetectionApp:GetPit(): [DEBUG] 0
2 87 DetectionApp:GetPit(): [DEBUG] 0
2 88 DetectionApp:GetPit(): [DEBUG] 0
2 89 DetectionApp:GetPit(): [DEBUG] 0
2 90 DetectionApp:GetPit(): [DEBUG] 0
3 23 DetectionApp:GetPit(): [DEBUG] 0
3 24 DetectionApp:GetPit(): [DEBUG] 0
3 25 DetectionApp:GetPit(): [DEBUG] 0
3 26 DetectionApp:GetPit(): [DEBUG] 0.875
3 27 DetectionApp:GetPit(): [DEBUG] 0
3 28 DetectionApp:GetPit(): [DEBUG] 0
3 29 DetectionApp:GetPit(): [DEBUG] 0
3 30 DetectionApp:GetPit(): [DEBUG] 0
3 31 DetectionApp:GetPit(): [DEBUG] 0
3 32 DetectionApp:GetPit(): [DEBUG] 0.8
3 33 DetectionApp:GetPit(): [DEBUG] 0
3 34 DetectionApp:GetPit(): [DEBUG] 0.857143
3 35 DetectionApp:GetPit(): [DEBUG] 0.5
3 36 DetectionApp:GetPit(): [DEBUG] 0
3 37 DetectionApp:GetPit(): [DEBUG] 0
3 38 DetectionApp:GetPit(): [DEBUG] 0
3 39 DetectionApp:GetPit(): [DEBUG] 0
3 40 DetectionApp:GetPit(): [DEBUG] 0.888889
3 41 DetectionApp:GetPit(): [DEBUG] 0
3 42 DetectionApp:GetPit(): [DEBUG] 0
3 43 DetectionApp:GetPit(): [DEBUG] 0
3 44 DetectionApp:GetPit(): [DEBUG] 0
3 45 DetectionApp:GetPit(): [DEBUG] 0
3 46 DetectionApp:GetPit(): [DEBUG] 0
3 47 DetectionApp:GetPit(): [DEBUG] 0
3 48 DetectionApp:GetPit(): [DEBUG] 0
3 49 DetectionApp:GetPit(): [DEBUG] 0
3 50 DetectionApp:GetPit(): [DEBUG] 0
3 51 DetectionApp:GetPit(): [DEBUG] 0
3 52 DetectionApp:GetPit(): [DEBUG] 0
3 53 DetectionApp:GetPit(): [DEBUG] 0
3 54 DetectionApp:GetPit(): [DEBUG] 0
3 55 DetectionApp:GetPit(): [DEBUG] 0
3 56 DetectionApp:GetPit(): [DEBUG] 0
3 57 DetectionApp:GetPit(): [DEBUG] 0
3 58 DetectionApp:GetPit(): [DEBUG] 0
3 59 DetectionApp:GetPit(): [DEBUG] 0.5
3 60 DetectionApp:GetPit(): [DEBUG] 0
3 61 DetectionApp:GetPit(): [DEBUG] 0
3 62 DetectionApp:GetPit(): [DEBUG] 0
3 63 DetectionApp:GetPit(): [DEBUG] 0
3 64 DetectionApp:GetPit(): [DEBUG] 0
3 65 DetectionApp:GetPit(): [DEBUG] 0
3 66 DetectionApp:GetPit(): [DEBUG] 0
3 67 DetectionApp:GetPit(): [DEBUG] 0
3 68 DetectionApp:GetPit(): [DEBUG] 0
3 69 DetectionApp:GetPit(): [DEBUG] 0
3 70 DetectionApp:GetPit(): [DEBUG] 0
3 71 DetectionApp:GetPit(): [DEBUG] 0.666667
3 72 DetectionApp:GetPit(): [DEBUG] 0
3 73 DetectionApp:GetPit(): [DEBUG] 0
3 74 DetectionApp:GetPit(): [DEBUG] 0.5
3 75 DetectionApp:GetPit(): [DEBUG] 0
3 76 DetectionApp:GetPit(): [DEBUG] 0
3 77 DetectionApp:GetPit(): [DEBUG] 0
3 78 DetectionApp:GetPit(): [DEBUG] 0
3 79 DetectionApp:GetPit(): [DEBUG] 0
3 80 DetectionApp:GetPit(): [DEBUG] 0.625
3 81 DetectionApp:GetPit(): [DEBUG] 0
3 82 DetectionApp:GetPit(): [DEBUG] 0
3 83 DetectionApp:GetPit(): [DEBUG] 0
3 84 DetectionApp:GetPit(): [DEBUG] 0
3 85 DetectionApp:GetPit(): [DEBUG] 0
3 86 DetectionApp:GetPit(): [DEBUG] 0
3 87 DetectionApp:GetPit(): [DEBUG] 0
3 88 DetectionApp:GetPit(): [DEBUG] 0
3 89 DetectionApp:GetPit(): [DEBUG] 0
3 90 DetectionApp:GetPit(): [DEBUG] 0
4 23 DetectionApp:GetPit(): [DEBUG] 0
4 24 DetectionApp:GetPit(): [DEBUG] 0
4 25 DetectionApp:GetPit(): [DEBUG] 0
4 26 DetectionApp:GetPit(): [DEBUG] 0.875
4 27 DetectionApp:GetPit(): [DEBUG] 0
4 28 DetectionApp:GetPit(): [DEBUG] 0
4 29 DetectionApp:GetPit(): [DEBUG] 0
4 30 DetectionApp:GetPit(): [DEBUG] 0
4 31 DetectionApp:GetPit(): [DEBUG] 0
4 32 DetectionApp:GetPit(): [DEBUG] 0.8
4 33 DetectionApp:GetPit(): [DEBUG] 0
4 34 DetectionApp:GetPit(): [DEBUG] 0.857143
4 35 DetectionApp:GetPit(): [DEBUG] 0.5
4 36 DetectionApp:GetPit(): [DEBUG] 0.5
4 37 DetectionApp:GetPit(): [DEBUG] 0
4 38 DetectionApp:GetPit(): [DEBUG] 0
4 39 DetectionApp:GetPit(): [DEBUG] 0
4 40 DetectionApp:GetPit(): [DEBUG] 0.888889
4 41 DetectionApp:GetPit(): [DEBUG] 0
4 42 DetectionApp:GetPit(): [DEBUG] 0
4 43 DetectionApp:GetPit(): [DEBUG] 0
4 44 DetectionApp:GetPit(): [DEBUG] 0
4 45 DetectionApp:GetPit(): [DEBUG] 0
4 46 DetectionApp:GetPit(): [DEBUG] 0.5
4 47 DetectionApp:GetPit(): [DEBUG] 0
4 48 DetectionApp:GetPit(): [DEBUG] 0
4 49 DetectionApp:GetPit(): [DEBUG] 0
4 50 DetectionApp:GetPit(): [DEBUG] 0
4 51 DetectionApp:GetPit(): [DEBUG] 0
4 52 DetectionApp:GetPit(): [DEBUG] 0
4 53 DetectionApp:GetPit(): [DEBUG] 0
4 54 DetectionApp:GetPit(): [DEBUG] 0
4 55 DetectionApp:GetPit(): [DEBUG] 0
4 56 DetectionApp:GetPit(): [DEBUG] 0
4 57 DetectionApp:GetPit(): [DEBUG] 0
4 58 DetectionApp:GetPit(): [DEBUG] 0
4 59 DetectionApp:GetPit(): [DEBUG] 0.5
4 60 DetectionApp:GetPit(): [DEBUG] 0
4 61 DetectionApp:GetPit(): [DEBUG] 0
4 62 DetectionApp:GetPit(): [DEBUG] 0
4 63 DetectionApp:GetPit(): [DEBUG] 0
4 64 DetectionApp:GetPit(): [DEBUG] 0
4 65 DetectionApp:GetPit(): [DEBUG] 0
4 66 DetectionApp:GetPit(): [DEBUG] 0
4 67 DetectionApp:GetPit(): [DEBUG] 0
4 68 DetectionApp:GetPit(): [DEBUG] 0
4 69 DetectionApp:GetPit(): [DEBUG] 0
4 70 DetectionApp:GetPit(): [DEBUG] 0
4 71 DetectionApp:GetPit(): [DEBUG] 0.666667
4 72 DetectionApp:GetPit(): [DEBUG] 0
4 73 DetectionApp:GetPit(): [DEBUG] 0
4 74 DetectionApp:GetPit(): [DEBUG] 0.5
4 75 DetectionApp:GetPit(): [DEBUG] 0
4 76 DetectionApp:GetPit(): [DEBUG] 0
4 77 DetectionApp:GetPit(): [DEBUG] 0
4 78 DetectionApp:GetPit(): [DEBUG] 0
4 79 DetectionApp:GetPit(): [DEBUG] 0
4 80 DetectionApp:GetPit(): [DEBUG] 0.64
4 81 DetectionApp:GetPit(): [DEBUG] 0
4 82 DetectionApp:GetPit(): [DEBUG] 0
4 83 DetectionApp:GetPit(): [DEBUG] 0
4 84 DetectionApp:GetPit(): [DEBUG] 0
4 85 DetectionApp:GetPit(): [DEBUG] 0
4 86 DetectionApp:GetPit(): [DEBUG] 0
4 87 DetectionApp:GetPit(): [DEBUG] 0
4 88 DetectionApp:GetPit(): [DEBUG] 0
4 89 DetectionApp:GetPit(): [DEBUG] 0
4 90 DetectionApp:GetPit(): [DEBUG] 0
5 23 DetectionApp:GetPit(): [DEBUG] 0
5 24 DetectionApp:GetPit(): [DEBUG] 0
5 25 DetectionApp:GetPit(): [DEBUG] 0
5 26 DetectionApp:GetPit(): [DEBUG] 0.857143
5 27 DetectionApp:GetPit(): [DEBUG] 0
5 28 DetectionApp:GetPit(): [DEBUG] 0
5 29 DetectionApp:GetPit(): [DEBUG] 0
5 30 DetectionApp:GetPit(): [DEBUG] 0
5 31 DetectionApp:GetPit(): [DEBUG] 0
5 32 DetectionApp:GetPit(): [DEBUG] 0.8
5 33 DetectionApp:GetPit(): [DEBUG] 0
5 34 DetectionApp:GetPit(): [DEBUG] 0.833333
5 35 DetectionApp:GetPit(): [DEBUG] 0.5
5 36 DetectionApp:GetPit(): [DEBUG] 0.5
5 37 DetectionApp:GetPit(): [DEBUG] 0
5 38 DetectionApp:GetPit(): [DEBUG] 0
